Stratégie,Type d'algorithme,Algorithm,test_rmse,fit_time,test_time
Stratégie 1,implémenté,RefinedSVDKNN,0.848969,197.629266,8.842044
Stratégie 1,implémenté,RefinedSVDKNN2,0.848802,133.040953,6.620515
Stratégie 1,implémenté,RefinedSVDKNN3,0.849916,235.202336,7.183103
Stratégie 1,implémenté,FactorizationMachines,0.899965,13.291122,121.070311
Stratégie 1,Par défaut,KNNBasic,0.789297,14.557665,91.330358
Stratégie 1,Par défaut,KNNBaseline,0.757210,15.227074,95.881543
Stratégie 1,Par défaut,KNNWithZScore,0.762583,14.909446,100.933116
Stratégie 1,Par défaut,KNNWithMeans,0.762702,14.578091,101.162224
Stratégie 1,Par défaut,SVD,0.786522,3.174759,1.406275
Stratégie 1,Par défaut,SVDpp,0.779574,13.155221,7.625218
Stratégie 1,Par défaut,NMF,0.781377,4.706876,1.310572
Stratégie 1,Par défaut,SlopeOne,0.795732,1.051039,4.962677
Stratégie 1,Par défaut,BaselineOnly,0.800216,0.641253,0.883924
Stratégie 1,Par défaut,CoClustering,0.811815,4.999874,1.129802
Stratégie 1,Par défaut,NormalPredictor,1.155529,0.290452,0.880701
Stratégie 2,Par défaut,KNNBaseline,0.967268,228.067812,309.721434
Stratégie 2,Par défaut,SVD,0.981862,5.354001,1.866898
Stratégie 2,Par défaut,KNNBasic,1.013335,204.793773,270.877142
Stratégie 2,Par défaut,SlopeOne,1.024377,2.700922,5.980805
Stratégie 2,Par défaut,NormalPredictor,1.461304,0.558919,1.573992
